,Rank,Name,Team,Cl,Position,G,Solo Tack,Asst Tack,TT,TPG
184,185,Jacques Boudreaux,Louisiana,Jr.,LB,14,41,52,93,6.6
185,186,Dakota Allen,Texas Tech,Sr.,LB,11,33,40,73,6.6
186,187,Drue Tranquill,Notre Dame,Sr.,LB,13,63,23,86,6.6
187,-,Evan Foster,Syracuse,Jr.,DB,13,56,30,86,6.6
188,-,Drake Spears,Western Mich.,Jr.,LB,13,53,33,86,6.6
189,-,Darius West,Kentucky,Sr.,DB,13,47,39,86,6.6
190,-,Jordan Fehr,Appalachian St.,Jr.,LB,13,36,50,86,6.6
191,-,Richard Olekanma,Toledo,Sr.,LB,13,36,50,86,6.6
192,193,Zedrick Woods,Ole Miss,Sr.,DB,12,42,37,79,6.6
193,-,Bull Barge,South Alabama,Sr.,LB,12,40,39,79,6.6
194,-,Javon Hagan,Ohio,Jr.,DB,12,40,39,79,6.6
195,-,Otaro Alaka,Texas A&M,Sr.,LB,12,39,40,79,6.6
196,-,Daniel Bituli,Tennessee,Jr.,LB,12,39,40,79,6.6
197,198,Collin Turner,La.-Monroe,Sr.,DB,11,42,30,72,6.5
198,199,Delvon Randall,Temple,Sr.,DB,13,62,23,85,6.5
199,200,Devin Bush,Michigan,Jr.,LB,12,38,40,78,6.5
200,-,Patrick Nelson,SMU,Jr.,DB,10,37,28,65,6.5
201,-,Kaulana Apelu,Oregon,Sr.,LB,10,36,29,65,6.5
202,203,Vince Calhoun,Eastern Mich.,Jr.,DB,13,47,37,84,6.5
203,-,Dimitri Moore,Vanderbilt,So.,LB,13,47,37,84,6.5
204,-,Kash Daniel,Kentucky,Jr.,LB,13,42,42,84,6.5
205,-,Khari Willis,Michigan St.,Sr.,DB,13,41,43,84,6.5
206,207,Damar Hamlin,Pittsburgh,Jr.,DB,14,61,29,90,6.4
207,208,Kenny Robinson Jr.,West Virginia,So.,DB,12,52,25,77,6.4
208,-,Merlin Robertson,Arizona St.,Fr.,LB,12,48,29,77,6.4
209,-,Dvndr Robinson,East Carolina,So.,DB,12,48,29,77,6.4
210,-,Bailey Laolagi,UNLV,Sr.,LB,12,39,38,77,6.4
211,212,Alex Grace,Western Mich.,Jr.,LB,13,55,28,83,6.4
212,-,Malcolm Rodriguez,Oklahoma St.,So.,DB,13,53,30,83,6.4
213,-,Micah Parsons,Penn St.,Fr.,LB,13,48,35,83,6.4
214,-,Ladarius Wiley,Vanderbilt,Sr.,DB,13,44,39,83,6.4
215,216,Jordan George,Akron,Sr.,DB,11,41,29,70,6.4
216,217,Jaylin Thomas,Ball St.,So.,LB,12,43,33,76,6.3
217,-,Max Richardson,Boston College,Jr.,LB,12,39,37,76,6.3
218,-,Masai Whyte,Western Ky.,Sr.,LB,12,37,39,76,6.3
219,-,Carlton Martial,Troy,Fr.,LB,12,33,43,76,6.3
220,221,Justin Tranquill,Western Mich.,Jr.,DB,13,58,24,82,6.3
221,-,Mike Edwards,Kentucky,Sr.,DB,13,56,26,82,6.3
222,-,Jahad Woods,Washington St.,So.,LB,13,51,31,82,6.3
223,-,Shaquille Quarterman,Miami (FL),Jr.,LB,13,45,37,82,6.3
224,225,Brian Bell,Akron,Sr.,LB,10,38,25,63,6.3
225,226,Brody Hoying,Eastern Mich.,Jr.,DB,11,29,40,69,6.3
226,227,Dontavious Jackson,Florida St.,Jr.,LB,12,46,29,75,6.3
227,-,William Harris,Boston College,Sr.,DB,12,43,32,75,6.3
228,-,Jordan Young,Old Dominion,So.,LB,12,37,38,75,6.3
229,-,Noel Cook,Appalachian St.,Jr.,LB,12,36,39,75,6.3
230,231,Jordan Fuller,Ohio St.,Jr.,DB,13,61,20,81,6.2
231,-,Ronnie Hoggins,South Fla.,Sr.,DB,13,58,23,81,6.2
232,-,Malik Harrison,Ohio St.,Jr.,LB,13,55,26,81,6.2
233,-,Gleson Sprewell,Houston,So.,DB,13,51,30,81,6.2
